timestamp,deviceName,cpuUsage,memUsage,netIn,netOut,lossRate
2026-07-13 08:00:00,核心路由器-01,42.5,55.3,186.2,118.5,0.01
2026-07-13 08:00:00,核心路由器-02,38.1,50.7,165.8,102.3,0.00
2026-07-13 08:00:00,汇聚交换机-01,55.8,62.4,452.3,312.6,0.02
2026-07-13 08:00:00,汇聚交换机-03,48.3,56.9,385.7,268.4,0.01
2026-07-13 08:00:00,防火墙-FW01,32.6,44.2,685.4,425.8,0.00
2026-07-13 08:00:00,应用服务器-01,68.4,72.5,95.6,72.3,0.03
2026-07-13 08:00:00,应用服务器-02,58.7,63.8,82.4,61.5,0.02
2026-07-13 08:00:00,数据库服务器-01,52.3,68.2,128.5,98.7,0.01
2026-07-13 10:00:00,核心路由器-01,48.2,58.6,245.8,156.3,0.02
2026-07-13 10:00:00,核心路由器-02,42.8,53.4,198.5,132.6,0.01
2026-07-13 10:00:00,汇聚交换机-01,65.3,70.8,586.4,412.5,0.03
2026-07-13 10:00:00,汇聚交换机-03,56.7,62.3,468.2,335.8,0.02
2026-07-13 10:00:00,防火墙-FW01,38.5,48.6,826.3,528.4,0.01
2026-07-13 10:00:00,应用服务器-01,78.6,82.3,125.8,88.6,0.04
2026-07-13 10:00:00,应用服务器-02,65.4,70.5,98.3,72.4,0.03
2026-07-13 10:00:00,数据库服务器-01,58.7,75.6,168.5,125.3,0.02
2026-07-13 12:00:00,核心路由器-01,45.6,56.8,212.3,138.5,0.01
2026-07-13 12:00:00,核心路由器-02,40.2,52.1,185.6,118.4,0.01
2026-07-13 12:00:00,汇聚交换机-01,58.4,65.2,512.6,368.5,0.02
2026-07-13 12:00:00,汇聚交换机-03,52.6,58.7,425.3,298.6,0.01
2026-07-13 12:00:00,防火墙-FW01,35.8,46.3,756.8,482.5,0.01
2026-07-13 12:00:00,应用服务器-01,72.3,76.8,108.5,78.6,0.03
2026-07-13 12:00:00,应用服务器-02,61.5,66.2,88.6,65.8,0.02
2026-07-13 12:00:00,数据库服务器-01,55.6,72.3,145.2,108.6,0.01
2026-07-13 14:00:00,核心路由器-01,46.8,57.2,228.6,145.3,0.02
2026-07-13 14:00:00,核心路由器-02,41.5,52.8,192.4,125.6,0.01
2026-07-13 14:00:00,汇聚交换机-01,62.5,68.3,545.8,385.2,0.03
2026-07-13 14:00:00,汇聚交换机-03,54.2,60.5,445.6,312.8,0.02
2026-07-13 14:00:00,防火墙-FW01,36.2,47.5,785.6,502.3,0.01
2026-07-13 14:00:00,应用服务器-01,75.8,80.5,118.6,82.5,0.04
2026-07-13 14:00:00,应用服务器-02,63.2,68.8,92.5,68.3,0.03
2026-07-13 14:00:00,数据库服务器-01,56.8,74.2,158.6,115.8,0.02
2026-07-13 16:00:00,核心路由器-01,44.2,56.5,205.6,132.8,0.01
2026-07-13 16:00:00,核心路由器-02,39.8,51.5,178.5,115.3,0.00
2026-07-13 16:00:00,汇聚交换机-01,60.2,66.8,498.5,352.6,0.02
2026-07-13 16:00:00,汇聚交换机-03,51.5,59.2,408.3,285.6,0.01
2026-07-13 16:00:00,防火墙-FW01,34.5,45.8,725.6,465.8,0.01
2026-07-13 16:00:00,应用服务器-01,70.5,78.2,112.5,80.3,0.03
2026-07-13 16:00:00,应用服务器-02,60.8,65.5,85.6,63.8,0.02
2026-07-13 16:00:00,数据库服务器-01,54.2,70.8,138.5,102.6,0.01
2026-07-13 18:00:00,核心路由器-01,40.5,54.2,178.5,115.6,0.01
2026-07-13 18:00:00,核心路由器-02,36.8,49.6,155.3,98.5,0.00
2026-07-13 18:00:00,汇聚交换机-01,52.6,60.5,425.6,298.5,0.02
2026-07-13 18:00:00,汇聚交换机-03,46.8,55.3,365.2,248.6,0.01
2026-07-13 18:00:00,防火墙-FW01,30.5,42.8,625.8,398.5,0.00
2026-07-13 18:00:00,应用服务器-01,65.8,70.2,95.8,68.5,0.02
2026-07-13 18:00:00,应用服务器-02,55.6,60.8,78.5,58.2,0.01
2026-07-13 18:00:00,数据库服务器-01,50.5,66.5,118.6,88.5,0.01
