timestamp,deviceName,cpuUsage,memUsage,netIn,netOut,lossRate
2026-07-14 08:30:00,核心路由器-02,42.5,55.8,225.6,148.5,0.05
2026-07-14 08:30:00,汇聚交换机-01,55.6,62.5,458.6,325.8,0.03
2026-07-14 08:30:00,汇聚交换机-02,98.5,92.3,125.8,85.6,0.15
2026-07-14 08:30:00,汇聚交换机-03,52.8,60.5,425.6,298.5,0.02
2026-07-14 08:30:00,防火墙-FW01,18.5,35.6,125.8,85.6,0.08
2026-07-14 08:30:00,防火墙-FW02,8.5,18.5,35.6,22.5,0.12
2026-07-14 08:30:00,应用服务器-01,99.2,96.8,65.8,45.6,0.08
2026-07-14 08:30:00,test1,35.6,45.8,205.6,142.5,0.02
2026-07-14 08:30:00,test2,30.5,40.5,175.8,118.6,0.01
2026-07-14 08:30:00,test3,68.5,72.5,985.6,685.5,0.06
2026-07-14 08:30:00,test4,55.8,62.5,825.6,568.5,0.04
2026-07-14 12:00:00,核心路由器-02,45.8,58.6,245.8,162.5,0.04
2026-07-14 12:00:00,汇聚交换机-01,58.6,65.5,485.6,342.5,0.03
2026-07-14 12:00:00,汇聚交换机-02,92.5,88.5,168.5,112.5,0.12
2026-07-14 12:00:00,汇聚交换机-03,55.6,62.8,458.6,325.8,0.02
2026-07-14 12:00:00,防火墙-FW01,22.5,38.5,185.6,125.8,0.06
2026-07-14 12:00:00,防火墙-FW02,10.5,20.5,55.8,35.6,0.10
2026-07-14 12:00:00,应用服务器-01,95.8,93.5,85.6,58.6,0.06
2026-07-14 12:00:00,test1,38.5,48.6,225.6,155.8,0.02
2026-07-14 12:00:00,test2,32.5,42.8,185.6,128.5,0.01
2026-07-14 12:00:00,test3,72.5,78.5,1025.8,725.6,0.05
2026-07-14 12:00:00,test4,58.6,65.5,885.6,612.5,0.03
2026-07-14 16:30:00,核心路由器-02,48.5,60.5,265.8,175.6,0.03
2026-07-14 16:30:00,汇聚交换机-01,60.5,68.5,508.6,365.8,0.02
2026-07-14 16:30:00,汇聚交换机-02,88.5,85.6,145.8,98.5,0.10
2026-07-14 16:30:00,汇聚交换机-03,58.5,65.2,485.6,342.5,0.02
2026-07-14 16:30:00,防火墙-FW01,25.8,40.5,225.6,155.8,0.05
2026-07-14 16:30:00,防火墙-FW02,12.5,22.8,65.8,42.5,0.08
2026-07-14 16:30:00,应用服务器-01,92.5,90.5,95.6,68.5,0.05
2026-07-14 16:30:00,test1,40.5,50.8,245.6,168.5,0.01
2026-07-14 16:30:00,test2,35.6,45.2,198.5,135.6,0.01
2026-07-14 16:30:00,test3,75.8,80.5,1065.8,755.8,0.04
2026-07-14 16:30:00,test4,62.5,68.5,925.6,645.8,0.03
